Handle,Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Inventory Policy,Image Src,Image Position,Status,Command
en-bona-classic-ux-sellador,Bona Classic UX - Sellador,". Sellador al agua. Uso: sellado de pisos de madera interiores, previo a la aplicación de Barnices. Incoloro. Pronto uso. Fácil aplicación. Rápido secado. Fácil lijado. Apto calefacción radiante. Sin olor. Certificado GREENGUARD: bajas emisiones químicas en espacios cerrados. Aplicación: Consultar ficha técnica. Fabricado en Suecia",Bona,Construcción,"Pinturas, Bona, stock-verificado",TRUE,Título,Default Title,BWB100613001/01,36.26,,10,deny,https://cfluna.com/enkotienda.com.uy/cdn/files/tmp/compressed/normal/stt6lnwbs0k0fkxm6oqe.jpg,1,,
en-bona-traffic-go-plastificante-base-agua,Bona Traffic Go - Plastificante base agua,". Barniz - plastificante al agua . Tránsito alto. Uso: protección y acabado de pisos de madera interiores. Incoloro. Pronto uso. Fácil aplicación. Sin Olor. Crosslink: nueva generación de tecnología de endurecimiento y eficacia de un barniz de un componente con la durabilidad y el rendimiento de un producto de 2 componentes. Certificados: EMICODE; EC1, GreenGuard Gold, EN13501-1. Aplicación: consultar ficha técnica. Fabricado en Suecia",Bona,Construcción,"Pinturas, Bona, stock-verificado",TRUE,Título,Default Title,BWT400320001/05,233.63,,10,deny,https://cfluna.com/enkotienda.com.uy/cdn/files/tmp/compressed/normal/zpikzno387gai94ucdrw.jpg,1,,
en-bona-mega-plastificante-base-agua,Bona Mega- Plastificante base agua,". Barniz - plastificante al agua . Tránsito medio/alto. Uso: protección y acabado de pisos de madera interiores. Incoloro. Pronto uso . Fácil aplicación. Sin Olor. Certificados: EMICODE; EC1, GreenGuard Gold, EN13501-1. Aplicación: consultar ficha técnica . Fabricado en Suecia",Bona,Construcción,"Pinturas, Bona, stock-verificado",TRUE,Título,Default Title,BWT133013/01,44.47,,10,deny,https://cfluna.com/enkotienda.com.uy/cdn/files/tmp/compressed/normal/zljz50jzlpkl0jbzbfjg.jpg,1,,
en-bona-decking-oil-aceite-para-decks,Bona Decking Oil - Aceite para Decks,. Aceite para decks de madera. Uso: protección y acabado de decks de madera. Pronto uso . Fácil aplicación . Alto rendimiento . Fácil mantenimiento . Antideslizante . Nutre la madera . Realza la veta natural de la madera . Contiene protección UV contra el blanqueamiento . Repele al agua . Bajo contenido de COV . Bajo olor . Reduce el agrietamiento . Realizar limpieza y mantenimiento . Aplicación/Mantenimiento: consultar ficha técnica . Fabricado en Suecia,Bona,Construcción,"Pinturas, Bona, stock-verificado",TRUE,Título,Default Title,BGT551115001/2A,114.95,,10,deny,https://cfluna.com/enkotienda.com.uy/cdn/files/tmp/compressed/normal/33og4cpciqdxpdwk9xsx.jpg,1,,
en-bona-mix-amp-fill-plus-masilla-altos-solidos,Bona Mix&Fill Plus - Masilla altos sólidos,. Masilla al agua  con elevado contenido de sólidos. Uso: Relleno de juntas y huecos de pisos de madera . Diseñado para mezclar con&nbsp;aserrín de madera para lograr color y consistencia adecuada. Muy buena capacidad de relleno . Fácil aplicación . Rápido secado . Fácil lijado . Para juntas de hasta 3mm . Aplicación: consultar ficha técnica . Fabricado en Suecia,Bona,Construcción,"Pinturas, Bona, stock-verificado",TRUE,Título,Default Title,BWF2200200/05,155.73,,10,deny,https://cfluna.com/enkotienda.com.uy/cdn/files/tmp/compressed/normal/8ors7s8fcyy2wz41025r.jpg,1,,
en-bona-gap-master-masilla-elastica,Bona Gap Master - Masilla elástica,. Masilla elástica . Uso: Relleno de huecos de pisos y zócalos de madera . Fácil aplicación . Elasticidad permanente . Sin olor . Sin siliconas ni disolventes . Apto para barnices Bona . Óptima adherencia. Aplicación: consultar ficha técnica . Fabricado en Suecia,Bona,Construcción,"Pinturas, Bona, stock-verificado",TRUE,Título,Default Title,BAF441131200/UU,19.56,,10,deny,https://cfluna.com/enkotienda.com.uy/cdn/files/tmp/compressed/normal/qjhxm9kaj4t5h2tdtixb.jpg,1,,
en-bona-r848-adhesivo-silano,Bona R848 - Adhesivo Silano,. Adhesivo base silano modificado de alta elasticiadad y poder de pegado . Uso: pegado de pisos de madera interiores . Fácil aplicación . Un solo componente . Gran estabilidad de las crestas de la espátula dentada . Controla el movimiento/tensión de la madera . Endurece mediante reacción con la humedad . Gran durabilidad de pegado . Sin agua ni disolventes . Muy bajas emisiones EC1 Plus . Permite tránsito luego de 24hs . Aplicación: Consultar ficha técnica . Fabricado en Suecia,Bona,Construcción,"Pinturas, Bona, stock-verificado",TRUE,Título,Default Title,BBR84802800/15,198.37,,10,deny,https://cfluna.com/enkotienda.com.uy/cdn/files/tmp/compressed/normal/w7houc7y0tyxqg5p7201.jpg,1,,
en-bona-adhesivo-multiproposito-vertical,Bona Adhesivo Multipropósito Vertical,". Adhesivo elástico de Silano . Uso: pegado de madera, metal, piedra, cerámica, etc. . Fácil aplicación . Un solo componente . Gran fuerza de adhesión inicial . Adecuado para uniones, incluyendo plásticos . Sin agua ni disolventes . Se puede recubrir o pintar . Aplicación: consultar ficha técnica . Fabricado en Suecia",Bona,Construcción,"Pinturas, Bona, stock-verificado",TRUE,Título,Default Title,BBRVER00300/UU,19.12,,10,deny,https://cfluna.com/enkotienda.com.uy/cdn/files/tmp/compressed/normal/nqzeogym59amnrwbu01h.png,1,,
en-bona-impregnante-barrera-humedad-para-pisos,Bona Impregnante/Barrera Humedad para pisos,. Imprimación/Barrera antihumedad de poliuretano . Uso:&nbsp;Protección de todo tipo de madera expuesta al exterior previo a la aplicación de un barniz de la línea Hydrocrom. Fácil aplicación . Un solo componente . Apto con subsuelos de hasta 4% de humedad. Compatible con adhesivos Bona . Aplicación: consultar ficha técnica . Fabricado en Suecia,Bona,Construcción,"Pinturas, Bona, stock-verificado",TRUE,Título,Default Title,BBR54002200/06,173.92,,10,deny,https://cfluna.com/enkotienda.com.uy/cdn/files/tmp/compressed/normal/42aig56syomsf44nue1x.jpg,1,,
en-bona-rodillo-microfleece-para-barnices-bona,Bona Rodillo Microfleece -Para Barnices Bona,. Rodillo profesional de microfibra . Uso: para aplicación de Barnices Bona . Incluye protectores laterales para mantener una aplicación constante . Fabricado en Suecia,Bona,Herramientas,"Bona, stock-verificado",TRUE,Título,Default Title,BAT31001000/UU,39.11,,10,deny,https://cfluna.com/enkotienda.com.uy/cdn/files/tmp/compressed/normal/igat22np4sf0tvoi1fdq.jpg,1,,
